LSE/AGM,"APPLIED GRAPH. share price (AGM), Currency GBX"
LSE/APR,APR ENERGY share price (APR) (APR)
LSE/AQP,"AQUARIUS PLAT. share price (AQP), Currency GBX"
LSE/ARBB,"ARBUTHNOT share price (ARBB), Currency GBX"
LSE/ARC,"ARCONTECH GRP share price (ARC), Currency GBX"
LSE/ARDN,"ARDEN PARTNERS share price (ARDN), Currency GBX"
LSE/AGQ,"ARIAN share price (AGQ), Currency GBX"
LSE/AAU,"ARIANA share price (AAU), Currency GBX"
LSE/AKT,PREMIER VET GRP share price (PVG) (AKT)
LSE/ARM,"ARM HLDGS. share price (ARM), Currency GBX"
LSE/ACP,"ARMADALE CAP. share price (ACP), Currency GBX"
LSE/AMR,"ARMOUR GRP share price (AMR), Currency GBX"
LSE/AVP,"ARMSTRONG VENT. share price (AVP), Currency GBX"
LSE/NLG,"ARRIA NLG ORDS share price (NLG), Currency GBX"
LSE/ARO,"ARRICANO REAL share price (ARO), Currency USD"
LSE/ARW,"ARROW GLOBAL share price (ARW), Currency GBX"
LSE/ARTA,"ARTILIUM share price (ARTA), Currency GBX"
LSE/AST,"ASCENT RES. share price (AST), Currency GBX"
LSE/ARP,Ashcourt Rowan Plc (ARP)
LSE/ASH,"ASHLEY HOUSE share price (ASH), Currency GBX"
LSE/ALY,"ASHLEY(LAURA) share price (ALY), Currency GBX"
LSE/ASHM,"ASHMORE share price (ASHM), Currency GBX"
LSE/AHT,"ASHTEAD GRP. share price (AHT), Currency GBX"
LSE/ACHP,"ASIA CERAMICS share price (ACHP), Currency GBX"
LSE/ARMS,ASIA RESOURCE MINERALS PLC (ARMS)
LSE/AGP,"ASIAN GRWTH share price (AGP), Currency GBX"
LSE/ASC,"ASOS share price (ASC), Currency GBX"
LSE/ASTO,"ASSETCO share price (ASTO), Currency GBX"
LSE/ASTA,Astar Minerals Plc (ASTA)
LSE/AZN,"ASTRAZENECA share price (AZN), Currency GBX"
LSE/ATK,"ATKINS(WS) share price (ATK), Currency GBX"
LSE/ATC,ATLANTIC COAL share price (ATC) (ATC)
LSE/ATMA,"ATLAS MARA share price (ATMA), Currency USD"
