BP/GAS_RESERVES_POL,Proved Natural Gas Reserves - Poland
BP/GAS_RESERVES_KAZ,Proved Natural Gas Reserves - Kazakhstan
BP/GAS_RESERVES_RUS,Proved Natural Gas Reserves - Russian Federation
BP/GAS_RESERVES_ROU,Proved Natural Gas Reserves - Romania
BP/GAS_RESERVES_TKM,Proved Natural Gas Reserves - Turkmenistan
BP/GAS_RESERVES_UKR,Proved Natural Gas Reserves - Ukraine
BP/GAS_RESERVES_GBR,Proved Natural Gas Reserves - United Kingdom
BP/GAS_RESERVES_UZB,Proved Natural Gas Reserves - Uzbekistan
BP/GAS_RESERVES_TEUE,Proved Natural Gas Reserves - Total Europe & Eurasia
BP/GAS_RESERVES_OEUE,Proved Natural Gas Reserves - Other Europe & Eurasia
BP/GAS_RESERVES_IRQ,Proved Natural Gas Reserves - Iraq
BP/GAS_RESERVES_BHR,Proved Natural Gas Reserves - Bahrain
BP/GAS_RESERVES_KWT,Proved Natural Gas Reserves - Kuwait
BP/GAS_RESERVES_IRN,Proved Natural Gas Reserves - Iran
BP/GAS_RESERVES_OMN,Proved Natural Gas Reserves - Oman
BP/GAS_RESERVES_QAT,Proved Natural Gas Reserves - Qatar
BP/GAS_RESERVES_SAU,Proved Natural Gas Reserves - Saudi Arabia
BP/GAS_RESERVES_SYR,Proved Natural Gas Reserves - Syria
BP/GAS_RESERVES_ARE,Proved Natural Gas Reserves - United Arab Emirates
BP/GAS_RESERVES_YEM,Proved Natural Gas Reserves - Yemen
BP/GAS_RESERVES_MIDE,Proved Natural Gas Reserves - Total Middle East
BP/GAS_RESERVES_EGY,Proved Natural Gas Reserves - Egypt
BP/GAS_RESERVES_DZA,Proved Natural Gas Reserves - Algeria
BP/GAS_RESERVES_OMDE,Proved Natural Gas Reserves - Other Middle East
BP/GAS_RESERVES_LBY,Proved Natural Gas Reserves - Libya
BP/GAS_RESERVES_NGA,Proved Natural Gas Reserves - Nigeria
BP/GAS_RESERVES_OAFR,Proved Natural Gas Reserves - Other Africa
BP/GAS_RESERVES_TAFR,Proved Natural Gas Reserves - Total Africa
BP/GAS_RESERVES_AUS,Proved Natural Gas Reserves - Australia
BP/GAS_RESERVES_BGD,Proved Natural Gas Reserves - Bangladesh
BP/GAS_RESERVES_BRN,Proved Natural Gas Reserves - Brunei
BP/GAS_RESERVES_CHN,Proved Natural Gas Reserves - China
BP/GAS_RESERVES_IDN,Proved Natural Gas Reserves - Indonesia
BP/GAS_RESERVES_IND,Proved Natural Gas Reserves - India
BP/GAS_RESERVES_MYS,Proved Natural Gas Reserves - Malaysia
BP/GAS_RESERVES_MMR,Proved Natural Gas Reserves - Myanmar
BP/GAS_RESERVES_PNG,Proved Natural Gas Reserves - Papua New Guinea
BP/GAS_RESERVES_PAK,Proved Natural Gas Reserves - Pakistan
BP/GAS_RESERVES_THA,Proved Natural Gas Reserves - Thailand
BP/GAS_RESERVES_VNM,Proved Natural Gas Reserves - Vietnam
BP/GAS_RESERVES_OASP,Proved Natural Gas Reserves - Other Asia Pacific
